name,caloriesPer100g,proteinPer100g,animalProteinPer100g,plantProteinPer100g,fatPer100g,carbPer100g,fiberPer100g,note,isCustom,isCombined,units,micronutrients
去皮鸡胸肉,118,24.6,24.6,0,1.9,0.6,0,富含烟酸(维生素B3)、极低脂,false,false,[{"name":"克","grams":1,"isBase":true}],[]
去皮鸡腿肉,120,20.0,20.0,0,4.0,0,0,铁、锌含量略高于鸡胸肉，口感更嫩,false,false,[{"name":"克","grams":1,"isBase":true}],[]
虾仁,85,18.3,18.3,0,0.8,1.0,0,富含优质蛋白、虾青素、锌、碘,false,false,[{"name":"克","grams":1,"isBase":true}],[]
瘦牛肉(牛里脊),106,22.2,22.2,0,1.8,0.2,0,富含血红素铁、锌、天然肌酸、维生素B12,false,false,[{"name":"克","grams":1,"isBase":true}],[]
瘦猪肉,143,20.3,20.3,0,6.2,1.5,0,维生素B1极高，日常代谢必需,false,false,[{"name":"克","grams":1,"isBase":true}],[]
全蛋,144,13.3,13.3,0,8.8,2.8,0,含优质脂肪、卵磷脂、胆固醇、维生素A/D/E,false,false,[{"name":"克","grams":1,"isBase":true}],[]
特级初榨橄榄油,884,0,0,0,100,0,0,富含单不饱和脂肪酸(油酸)、抗氧化多酚,false,false,[{"name":"克","grams":1,"isBase":true}],[]
山茶油,884,0,0,0,100,0,0,东方橄榄油，油酸比例甚至略高于橄榄油,false,false,[{"name":"克","grams":1,"isBase":true}],[]
鱼油补充剂,900,0,0,0,100,0,0,提供EPA、DHA，抗发炎（单粒通常约1g/9kcal）,false,false,[{"name":"克","grams":1,"isBase":true}],[]
混合坚果(健康款),610,16.5,0,16.5,56.0,13.0,7.5,按35%核桃/30%腰果/23%巴旦木/12%其他计算，富含优质脂肪与维E,false,false,[{"name":"克","grams":1,"isBase":true}],[]
白米饭(生大米),346,7.9,0,7.9,0.9,76.6,0.6,快碳水，易消化。100g生米煮熟后大约是230g米饭,false,false,[{"name":"克","grams":1,"isBase":true}],[]
全麦面包,250,10.0,0,10.0,4.0,39.0,6.0,慢碳水，富含B族维生素和矿物质（认准100%全麦）,false,false,[{"name":"克","grams":1,"isBase":true}],[]
面条(生挂面),350,11.5,0,11.5,1.5,71.5,1.5,快碳水。煮熟后吸水，熟面条热量约110kcal/100g,false,false,[{"name":"克","grams":1,"isBase":true}],[]
